ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
crm.email.dt.naverStep1	"Naver SearchAd → ツール → コンバージョン追跡 → スクリプトキー確認"
crm.email.dt.naverStep2	"Naverショッピングパートナーセンター → 広告 → ピクセル管理 → IDコピー"
crm.email.dt.naverStep3	"下の入力欄にIDを入力"
crm.email.dt.shoppingPixelId	"ショッピングPixel ID"
crm.email.dt.tiktokDesc	"TikTok Shop + TikTok Adsコンバージョン＆購入追跡"
crm.email.dt.tiktokStep2	"ピクセル作成 → Pixel ID + Access Tokenをコピー"
crm.email.dt.kakaoDesc	"Kakaoモーメント広告コンバージョン＆Kakaoチャネル分析"
crm.email.dt.kakaoStep1	"Kakaoビジネス → Pixel&SDK → ピクセル作成 → Track IDコピー"
crm.email.dt.kakaoStep2	"下にTrack IDを入力"
crm.email.dt.qualityTitle	"データ品質基準表"
crm.email.dt.qualityLiveTitle	"✅ ライブデータ (Real Data)"
crm.email.dt.qualityLiveDesc	"広告ピクセル/チャネルAPI/精算レポートから直接収集されたオリジナルデータ。最高の信頼度。"
crm.email.dt.qualityLiveEx1	"Meta CAPIコンバージョンイベント"
crm.email.dt.qualityLiveEx2	"チャネルAPI注文データ"
crm.email.dt.qualityLiveEx3	"精算レポート金額"
crm.email.dt.qualityLiveEx4	"在庫APIリアルタイム数量"
crm.email.dt.qualityEstDesc	"ライブデータに基づいて計算・推定された値。方向性は正しいが、正確な数値ではない場合があります。"
crm.email.dt.qualityEstEx1	"CRM AIセグメント"
crm.email.dt.qualityEstEx3	"ROAS設定値ベースの計算"
crm.email.dt.qualityEstEx4	"AI予測コンバージョン率"
crm.email.dt.qualityNoneDesc	"該当データソースが連携されていません。0値または空の状態が表示されます。"
crm.email.dt.qualityNoneEx1	"ピクセル未連携のコンバージョンデータ"
crm.email.dt.qualityNoneEx2	"APIキー未登録チャネルデータ"
crm.email.dt.secLockTitle	"セキュリティロック有効"
crm.email.dt.secLockDesc	"異常なリクエストパターンが検知されました。30秒後に自動解除されます。"
crm.email.dt.tabLineage	"データリネージ"
crm.email.dt.tabHistory	"スコア推移"
crm.email.dt.tabAudit	"監査ログ"
crm.email.dt.lineageTitle	"データリネージマップ"
crm.email.dt.lineageDesc	"データの収集元から加工を経て最終出力までのフローを可視化します"
crm.email.dt.lineageSources	"データソース"
crm.email.dt.lineageValidation	"データ検証"
crm.email.dt.lineageSecCheck	"セキュリティチェック"
crm.email.dt.lineageDashboard	"ダッシュボード"
crm.email.dt.lineageSummary	"ソース接続状況"
crm.email.dt.lineageRealSources	"リアルタイムソース"
crm.email.dt.lineageEstSources	"推定ソース"
crm.email.dt.lineageNoneSources	"未連携ソース"
crm.email.dt.historyTitle	"信頼度スコア推移"
crm.email.dt.historyDesc	"時間の経過に伴うデータ信頼度スコアの変化を追跡します"
crm.email.dt.historyCurrentScore	"現在のスコア"
crm.email.dt.historyPeakScore	"最高スコア"
crm.email.dt.historyDataPoints	"データポイント"
crm.email.dt.auditTitle	"データ監査ログ"
crm.email.dt.auditDesc	"連携設定の変更とシステムイベントの記録を追跡します"
crm.email.dt.auditEntries	"件の記録"
crm.email.dt.auditEmpty	"監査ログなし"
crm.email.dt.auditEmptyDesc	"連携設定を変更するとここに記録されます"
crm.email.dt.pixelBridgeDesc	"連携設定とAPIキー管理は連携ハブで一元管理されています"
crm.email.dt.goToIntegrationHub	"連携ハブへ移動"
crm.email.mr.heroDesc	"API キーを登録し接続状態を管理します。"
crm.email.mr.tabPlatform	"プラットフォームマッピング"
crm.email.mr.tabPlatformDesc	"基準値レジストリ"
crm.email.mr.tabDeductionDesc	"負担者・比率分解"
crm.email.mr.tabKpiDesc	"ロールアップシミュレーション"
crm.email.mr.tabApproval	"承認キュー"
crm.email.mr.tabApprovalDesc	"変更承認・監査ログ"
crm.email.mr.badgePlatformCount	"個 プラットフォーム"
crm.email.mr.badge2StepApproval	"2段階承認キュー"
crm.email.mr.badgeAuditAuto	"監査ログ自動記録"
crm.email.mr.approvalPending	"承認待ち"
crm.email.mr.resetAll	"リセット"
crm.email.mr.pfSubtitle	"プラットフォームマッピングレジストリ — 変更時に自動で承認キューに登録されます"
crm.email.mr.pfColPlatform	"プラットフォーム"
crm.email.mr.pfColStatus	"ステータス"
crm.email.mr.pfCancel	"キャンセル"
crm.email.mr.pfEmptyTitle	"登録されたプラットフォームなし"
crm.email.mr.pfEmptyDesc	"連携ハブでチャネルを接続すると自動登録されます"
crm.email.mr.pfGoHub	"連携ハブへ移動"
crm.email.mr.dedSellerBurden	"セラー負担"
crm.email.mr.dedPlatformBurden	"プラットフォーム負担"
crm.email.mr.dedAllPlatform	"全プラットフォーム"
crm.email.mr.dedSeller	"セラー"
crm.email.mr.dedPlatform	"プラットフォーム"
crm.email.mr.dedColPlatform	"プラットフォーム"
crm.email.mr.dedColSellerPct	"セラー負担%"
crm.email.mr.dedCatPromotion	"プロモーション"
crm.email.mr.dedSellerShareDesc	"セラー負担比率%（例：50＝セラー50%プラットフォーム50%）"
crm.email.mr.dedDeleteConfirm	"この控除項目を削除しますか？"
crm.email.mr.dedEmptyTitle	"登録された控除項目なし"
crm.email.mr.dedEmptyDesc	"'+追加'ボタンで控除項目を登録してください"
crm.email.mr.kpiTitle	"KPI影響度シミュレーション"
crm.email.mr.kpiPlatformSelect	"プラットフォーム選択"
crm.email.mr.kpiReset	"リセット"
crm.email.mr.kpiSellerDedTotal	"セラー控除合計"
crm.email.mr.kpiNoChange	"変化なし"
crm.email.mr.kpiRollupTitle	"📊 ロールアップシミュレーション基準"
crm.email.mr.kpiRollupNote	"* 直近30日実績基準のシミュレーション — 控除項目変更時のKPI影響度推定"
crm.email.mr.kpiRateOriginal	"元の値"
crm.email.mr.kpiSellerShare	"セラー負担比率"
crm.email.mr.kpiSellerActual	"セラー実負担:"
crm.email.mr.kpiChanged	"変更済み"
crm.email.mr.kpiNoDedItems	"該当プラットフォームに登録された控除項目なし"
crm.email.mr.apvApplied	"適用済み"
crm.email.mr.apvTabPending	"📋 承認待ち"
crm.email.mr.apvTabLog	"📜 監査ログ"
crm.email.mr.apvNoItems	"項目なし"
crm.email.mr.apvCurrentUser	"現在のユーザー"
crm.email.mr.apvQueued	"✓ 承認キューに登録済み"
crm.email.mr.apvTeamLead	"チームリーダー"
crm.email.mr.apvSystem	"システム"
crm.email.mr.apvRegistryApplied	"レジストリ適用完了"
crm.email.mr.secLockTitle	"セキュリティロック有効"
crm.email.mr.secLockDesc	"不審なアクセスが検出されたため30秒間ロックされています"
crm.email.settlements.pageTitle	"チャネル精算管理"
crm.email.settlements.pageDesc	"プラットフォーム別精算額追跡・手数料分析・元帳照合"
crm.email.settlements.importBtn	"+ インポート"
crm.email.settlements.csvDownload	"CSVダウンロード"
crm.email.settlements.csvSuccess	"✓ CSVダウンロード完了"
crm.email.settlements.importSuccess	"✓ インポート成功"
crm.email.settlements.importMock	"デモモード"
crm.email.settlements.kpiPending	"精算待ち"
crm.email.settlements.kpiOrderSub	"確定済み"
crm.email.settlements.kpiPendingWarn	"手動確認が必要"
crm.email.settlements.channelNetTitle	"チャネル別Net Payout"
crm.email.settlements.searchPlaceholder	"チャネル・注文番号検索"
crm.email.settlements.allChannels	"全チャネル"
crm.email.settlements.allStatus	"全ステータス"
crm.email.settlements.colChannel	"チャネル"
crm.email.settlements.colPlatformFee	"プラットフォーム手数料"
crm.email.settlements.exchangeRate	"為替レート"
crm.email.settlements.detailPlatformFee	"プラットフォーム手数料"
crm.email.settlements.detailEfficiency	"マージン率"
crm.email.settlements.detailCsvBtn	"CSVエクスポート"
crm.email.settlements.detailCsvDone	"✓ CSVダウンロード完了"
crm.email.settlements.emptyTitle	"精算データなし"
crm.email.settlements.emptyDesc	"連携ハブでチャネルを接続すると精算データが自動収集されます"
crm.email.settlements.emptyGoHub	"連携ハブへ移動"
crm.email.settlements.autoFeeDesc	"チャネル接続時に標準手数料率が自動適用"
crm.email.campaignMgr.pageTitle	"キャンペーン管理"
crm.email.campaignMgr.pageSub	"AIマーケティングキャンペーン統合管理 · 素材·予算·成果 · リアルタイム"
crm.email.campaignMgr.btnAutoMarketing	"AI自動化へ"
crm.email.campaignMgr.btnAiRecommend	"AIマーケティング推奨"
crm.email.campaignMgr.tabOverview	"キャンペーン現況"
crm.email.campaignMgr.tabAbTest	"A/Bテスト"
crm.email.campaignMgr.tabGantt	"スケジュール"
crm.email.campaignMgr.tabCrm	"CRMチャネル"
crm.email.campaignMgr.kpiTotal	"全キャンペーン"
crm.email.campaignMgr.statusScheduled	"予約済み"
crm.email.campaignMgr.filterAll	"全て"
crm.email.campaignMgr.newCampaignBtn	"新規キャンペーン承認登録"
crm.email.campaignMgr.tabMonitor	"モニタリング"
crm.email.campaignMgr.tabBudgetAlert	"予算アラート"
crm.email.campaignMgr.tabCopywriter	"AIコピー"
crm.email.campaignMgr.roiRanking	"キャンペーンROIランキング"
crm.email.campaignMgr.noCampaigns	"キャンペーンがまだありません"
crm.email.campaignMgr.remaining	"残り"
crm.email.campaignMgr.daysLeft	"日残り"
crm.email.campaignMgr.noActive	"アクティブキャンペーンなし"
crm.email.campaignMgr.monitorTitle	"リアルタイムキャンペーンモニター"
crm.email.campaignMgr.budgetAlertTitle	"予算アラート & 自動停止"
crm.email.campaignMgr.budgetAlertDesc	"予算消化率70%以上のキャンペーンを監視。95%超で自動停止。"
crm.email.campaignMgr.alertOnly	"アラートのみ"
crm.email.campaignMgr.monitoring	"モニタリング"
crm.email.campaignMgr.noBudgetAlerts	"すべて正常"
crm.email.campaignMgr.aiCopyTitle	"AIコピーライター"
crm.email.campaignMgr.copyChannel	"チャネル"
crm.email.campaignMgr.copyTone	"トーン"
crm.email.campaignMgr.copyPrompt	"商品やサービスを説明してください..."
crm.email.campaignMgr.toneProfessional	"プロフェッショナル"
crm.email.campaignMgr.toneCasual	"カジュアル"
crm.email.campaignMgr.toneFriendly	"フレンドリー"
crm.email.campaignMgr.toneLuxury	"ラグジュアリー"
crm.email.campaignMgr.copyScore	"スコア"
crm.email.campaignMgr.copyCopy	"コピー"
crm.email.campaignMgr.guideTabsTitle	"タブ別ガイド"
crm.aiHub.title	"統合ハブ"
crm.aiHub.upgradeBtn	"💎 Proアップグレード"
crm.aiHub.filterAll	"すべて"
crm.aiHub.journey.pageTitle	"カスタマージャーニービルダー"
crm.aiHub.journey.pageSub	"メール・カカオ・LINE・SMS・WhatsApp マルチチャネル自動化 · A/Bテスト · リアルタイム連携"
crm.aiHub.journey.tabList	"ジャーニー一覧"
crm.aiHub.journey.tabAnalytics	"分析ダッシュボード"
crm.aiHub.journey.myJourneys	"マイジャーニー"
crm.aiHub.journey.newJourney	"+ 新規ジャーニー"
crm.aiHub.journey.cancel	"キャンセル"
crm.aiHub.journey.journeyName	"ジャーニー名"
crm.aiHub.journey.journeyNamePh	"例：新規顧客ウェルカムジャーニー"
crm.aiHub.journey.triggerEvent	"トリガーイベント"
crm.aiHub.journey.copy	"コピー"
crm.aiHub.journey.noJourneys	"ジャーニーがありません。新しいジャーニーを作成しましょう！"
crm.aiHub.journey.statusActive	"アクティブ"
crm.aiHub.journey.statusDraft	"下書き"
crm.aiHub.journey.trigger	"トリガー"
crm.aiHub.journey.active	"アクティブ"
crm.aiHub.journey.scheduled	"予約済み"
crm.aiHub.journey.confirmDelete	"このジャーニーを削除しますか？"
crm.aiHub.journey.backToList	"← 一覧に戻る"
crm.aiHub.journey.nodeSettings	"ノード設定"
crm.aiHub.journey.clickToEdit	"ノードをクリックして編集"
crm.aiHub.journey.nodeName	"ノード名"
crm.aiHub.journey.triggerType	"トリガータイプ"
crm.aiHub.journey.selectSegment	"セグメントを選択"
crm.aiHub.journey.emailSubject	"メール件名"
crm.aiHub.journey.emailSubjectPh	"件名を入力"
crm.aiHub.journey.emailSenderPh	"送信者名を入力"
crm.aiHub.journey.emailTestSend	"テスト送信"
crm.aiHub.journey.kakaoTemplate	"テンプレートコード"
crm.aiHub.journey.kakaoMsgType	"メッセージタイプ"
crm.aiHub.journey.kakaoAlimtalk	"アリムトーク"
crm.aiHub.journey.kakaoFriendtalk	"フレンドトーク"
crm.aiHub.journey.kakaoTest	"テスト送信"
crm.aiHub.journey.lineTemplate	"テンプレートコード"
crm.aiHub.journey.lineMsgType	"メッセージタイプ"
crm.aiHub.journey.lineMsgText	"テキスト"
crm.aiHub.journey.lineMsgFlex	"Flexメッセージ"
crm.aiHub.journey.lineMsgTemplate	"テンプレート"
crm.aiHub.journey.lineTestSend	"テスト送信"
crm.aiHub.journey.waTemplate	"テンプレート名"
crm.aiHub.journey.waLang	"言語コード"
crm.aiHub.journey.igMessage	"DMメッセージ"
crm.aiHub.journey.igMessagePh	"Instagram DMメッセージを入力"
crm.aiHub.journey.smsMessage	"SMSメッセージ"
crm.aiHub.journey.smsMessagePh	"SMSメッセージを入力"
crm.aiHub.journey.webhookMethod	"HTTPメソッド"
crm.aiHub.journey.pushTitle	"プッシュ通知タイトル"
crm.aiHub.journey.pushBody	"プッシュ通知内容"
crm.aiHub.journey.popupTemplate	"ポップアップテンプレート"
crm.aiHub.journey.popupTemplatePh	"テンプレートIDを入力"
crm.aiHub.journey.conditionField	"条件フィールド"
crm.aiHub.journey.conditionEmailClicked	"メールクリック"
crm.aiHub.journey.conditionEmailOpened	"メール開封"
crm.aiHub.journey.conditionKakaoClicked	"カカオクリック"
crm.aiHub.journey.conditionLineClicked	"LINEクリック"
crm.aiHub.journey.conditionPageVisited	"ページ訪問"
crm.aiHub.journey.conditionCartValueGt	"カート金額以上"
crm.aiHub.journey.abGroupA	"Aグループ比率 (%)"
crm.aiHub.journey.abGroupB	"Bグループ"
crm.aiHub.journey.deleteNode	"ノードを削除"
crm.aiHub.journey.channelNotConnected	"連携ハブでチャネルを接続してください"
crm.aiHub.journey.execLog	"実行ログ"
crm.aiHub.journey.connectedChannels	"接続済みチャネル"
crm.aiHub.journey.recentTriggers	"最近のトリガー"
crm.aiHub.journey.emailSendSim	"メール送信シミュレーション: {{count}}名"
crm.aiHub.journey.kakaoSendSim	"カカオ送信シミュレーション: {{count}}名"
crm.aiHub.journey.lineSendSim	"LINE送信シミュレーション: {{count}}名"
crm.aiHub.journey.analyticsActive	"現在アクティブ"
crm.aiHub.journey.analyticsConvRate	"コンバージョン率"
crm.aiHub.journey.noAnalyticsData	"分析データがありません"
crm.aiHub.journey.journeyPerformance	"ジャーニー別パフォーマンス"
crm.aiHub.journey.colName	"ジャーニー名"
crm.aiHub.journey.colStatus	"ステータス"
crm.aiHub.journey.colActive	"アクティブ"
